[2017-11-07T21:58:34-0600] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: 1608640c8f; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2017-11-07T22:00:32-0600] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: 1608640c8f; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-11-07T22:28:50-0600] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: 1608640c8f; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-11-07T22:53:21-0600] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: 1608640c8f; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-11-07T22:53:21-0600] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: 1608640c8f; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-11-07T22:56:19-0600] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: 1608640c8f; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-11-07T22:56:20-0600] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: 1608640c8f; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-11-08T10:32:42-0600] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b47f49368c; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-11-08T10:32:42-0600] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b47f49368c; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-11-08T10:51:50-0600] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b47f49368c; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-11-08T10:51:50-0600] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b47f49368c; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-11-08T15:52:51-0600] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b47f49368c; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-11-08T15:52:51-0600] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b47f49368c; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-11-08T16:40:48-0600] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b47f49368c; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-11-08T16:40:48-0600] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b47f49368c; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
